experiment,title,ablation,baseline,variant,seeds,win_delta,plies_to_win_delta,avg_latency_ms_delta,avg_tokens_per_turn_delta,strict_suboptimal_delta,decision,confidence,control_rerun,updated_utc,latest_path
EXP_014_rationale_struct10,Rationale style: structured 10 sentences,runtime.rationaleStyle,control,variant_struct10,"301,302,303",0,-3.33,-2467.74,206.44,0,promising,low,not_due,2026-03-06T04:31:07.449Z,EXP_014_rationale_struct10/results/latest.md
EXP_000_prompt_mode_smoke,Prompt mode smoke (control vs full),-,control,variant,11,-,-,-,-,-,-,-,-,2026-03-06T03:40:34.408Z,EXP_000_prompt_mode_smoke/results/latest.md
