condition,seed,result,replayPath
control,11,draw,replays/model_evals/2026-03-05T19-34-11-984PST/scenario_01_seed11_agent_vs_greedy_stub_fake_model.json
variant,11,draw,replays/model_evals/2026-03-05T19-34-18-250PST/scenario_01_seed11_agent_vs_greedy_stub_fake_model.json
